Uniq Id,Crawl Timestamp,Billing Uniq Id,Rating,Review Title,Review Rating,Review Date,User Id,Brand,Category,Sub Category,Product Description,Asin,Url,Review Content,Verified Purchase,Helpful Review Count,Manufacturer Response
10d8b81dc693db8a3f92e19254525d53,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,Best Natural Deodorant!!,5.0,"March 6, 2020",AGIZFDSHLSBZ7KHQ4FV65W7B3HMQ,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R2QDG3B3GJO8W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,"This is the one natural deodorant that works for me, no b.o smell throughout the day! Score. Although it will never absorb quite like those cancer causing deodorants, this is definitely a must buy!!",Verified Purchase,0,NA
31ef1ee4961d3fcff33e363edd7677eb,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,Schmidt's Charcoal Deodorant is the best!,5.0,"March 6, 2020",AHOZPYWO6WE5MLAZZPDUAWNKKNRQ,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R14AFY08Z2YN9S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,"I am staying away from the conventional deodorants that have lots of fragrance combined with aluminum which is an irritant to my skin and bad for the body anyway. In my search for a product that smelled fresh enough for a woman to use and one that worked, I came upon Schmidt's charcoal. I was pleasantly surprised! It is smooth and easy to put on, it doesn't get gloppy like some, it keeps me feeling fresh all day long and it works! The price is so worth it because it lasts A LONG TIME. Try it! You'll be happy you did.",Verified Purchase,0,NA
6943e517922b051cbec496be32fbb57f,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,Beware. Defective or counterfeit.,1.0,"March 6, 2020",AECC6GYWWLNCKSBG3DZDGFSYDOTA,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R2RSQCFKI17X4L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,"Do not buy this from Amazon it's either defective or counterfeit. I used to buy the same product at Costco, it works great. As the picture shows there are clumps throughout the stick and it causes the product to overapply and get messy. The sticks from Costco were smooth and worked great.",Verified Purchase,One person found this helpful Helpful,NA
6778c794e6ac7112981d4ebb239d6826,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,Good for infrequent shavers in cooler months in unimportant clothes,3.0,"March 5, 2020",AEOO6OOEO4QD7Z4F6C2FMZUCW7PA,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/RMIK84HKMM45Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,"I started using this because I was getting cysts from aluminum antiperspirants. After studying the properties of charcoal in an academic setting regarding absorption of toxins in water filtration, I decided to pick this aluminum free deodorant. A few years earlier, I tried other aluminum free deodorants and they failed miserably. It smells good, with a mineraly fresh scent. I have sensitive skin, especially after shaving. After going to the dermatologist because I thought I had a serious rash with a burning sensation, we figured it was this deodorant. Now I know not to apply this deodorant the day or two after shaving. I reccomend this if you do not shave often. Also, it does stain gray and oily. Do not wear this on thin, light, or nice clothes. Good for wearing with neutral colored sweaters, for example. As for sweat prevention and odor reduction, it was satisfactory. I live in the northeast US, where we have cold winters and humid hot summers, so it was good for fall, winter and spring. Definitely did not do the job in summer. Also not as effective during exercise. Overall, this was a good alternative to aluminum antiperspirant when I am wearing thicker clothes I do not care about too much, in the colder months, when I am not exercising, and when I have not shaved for a day or two. To me, its better than constantly using aluminum antiperspirant.",NO,0,NA
2335a28ae24db3b2191080bfd98a86e0,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,This isn’t the true product and will hurt your armpits!,1.0,"March 2, 2020",AEHSDCGRIMVOUG6ST35FJ4FMMW5Q,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R1R8R5EBNBQPHI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,Dont buy this from amazon!!!! I never write reviews but felt others should know this. I’ve been using this deodorant for a while and purchased it this time from amazon. It isn’t the real product and the charcoal chunks will tear your armpits up.,Verified Purchase,One person found this helpful Helpful,NA
33bdd85b5bfc5a9ed528b2182d393e1a,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,A good choice for deodorant,5.0,"March 1, 2020",AEBMSOME6YNIFY4XQ7D2YLVWVO2Q,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R1QF5QVHD4IAZB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,Great natural deodorant! It works!,Verified Purchase,0,NA
afdd2760b29787829eca03c79baa794a,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,Nice Smell,5.0,"February 26, 2020",AGXV56HW7TKTKEGVIMMUQMBCAFWQ,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R27LY4CA6MZSAZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,Great for those who are sensitive to perfumed deorderants! Nice smell & works great!,Verified Purchase,0,NA
f1d50311e1659471c4bf46ba1ceb5aa6,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,Works OK but stains clothes,2.0,"February 26, 2020",AEHB3GIOUHLLXJTETQOHBGBGCX6Q,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R2DGCYQ25SR1I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,"Well I stopped using it today. Gave it about 3 weeks and honestly it wasn't bad smelling, didn't react terribly bc you really didn't need much and it did ok w sweat. Not near as good as antiperspirant but good enough especially for winter. What I realized last night is it is staining my shirts. I'm not gonna wear something that destroys my clothes.",Verified Purchase,0,NA
3083f245a5bcee9c346b946ba7911ef5,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,My skin hated it,3.0,"February 24, 2020",AHDNFS55ZAXA3URINNMOCPR35GFA,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R1H5C1LKUKZ4VF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,"I was excited to try this deodorant. I have been wanting to find a good non-aluminum deodorant. I've used Dove for years with no problem, but I've read that non-aluminum deodorants are better for you. I had this on for maybe 10-15 minutes before the discomfort started. A couple hours later, it felt like I'd taken sandpaper to my underarms. I was stuck at work and couldn't do anything about it... No way to rinse it off or apply any cream. By the time I got home from work, I was in agony. My skin felt so burned and scraped, and every time my arm moved across it sent a new sear of pain. I got my shirt off and looked at my underarms and they were so red and raw looking. I hadn't shaved (the deodorant advises against it), so that wasn't the issue. It took a few days for the burning ache to go away. oh well, so it goes. It smelled great!",NO,0,NA
17f3ae36d170e602bfe52dca60355ab9,2020-03-17 02:32:10 +0000,c697dc43961526785292107b91a639e1,,My go to,5.0,"February 24, 2020",AH5T526ODDURVWQRRAPJY7SDC7HA,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://www.amazon.com/gp/customer-reviews/R3MJ9IX5BZ7TEM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071YYMZ19,"The only deodorant I’ll ever use anymore, no other similar brands compare! Long lasting, the only thing that actually stops odor",Verified Purchase,0,NA
d39d2dada314001ac85086c902331d5d,2020-03-17 02:44:43 +0000,6fd515c40f8e9a7a756cb590dbd8e469,,Yum,5.0,"July 7, 2019",AGSXTIXZYZ4CNO5NAJXURXFKLAAQ,Sir Kensingtons,Grocery & Gourmet Food,Pantry Staples,Sir Kensingtons Mustard Yellow Sqz .The Freezing/chilling Temperatures is Ambient: Room Temperature .Made of good quality ingredient .,B071WKSX1F,https://www.amazon.com/gp/customer-reviews/RM2Y8RTTZ15ZZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071WKSX1F,"Excellent mustard, I highly recommend",Verified Purchase,0,NA
cfdd4cd3b684f3e60366eab64767dd47,2020-03-17 02:44:43 +0000,6fd515c40f8e9a7a756cb590dbd8e469,,Yummy!,5.0,"February 24, 2019",AEAMBNKJXX47K6ZEWAYXTTEAW47Q,Sir Kensingtons,Grocery & Gourmet Food,Pantry Staples,Sir Kensingtons Mustard Yellow Sqz .The Freezing/chilling Temperatures is Ambient: Room Temperature .Made of good quality ingredient .,B071WKSX1F,https://www.amazon.com/gp/customer-reviews/R2W4FF7ZDJVF4B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071WKSX1F,Tastes great!,Verified Purchase,0,NA
2ec6117d17fd8b91f61c885de1a35120,2020-03-17 02:44:43 +0000,6fd515c40f8e9a7a756cb590dbd8e469,,one of the best ones,5.0,"February 17, 2019",AFFLAVXOKYKYQ4XU6RRU44VUJVZA,Sir Kensingtons,Grocery & Gourmet Food,Pantry Staples,Sir Kensingtons Mustard Yellow Sqz .The Freezing/chilling Temperatures is Ambient: Room Temperature .Made of good quality ingredient .,B071WKSX1F,https://www.amazon.com/gp/customer-reviews/RQB58AIKJ6R78/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071WKSX1F,Fantastic delicious I used it in everything since I couldn't get enough of the flavor,Verified Purchase,0,NA
55aaa480e75bb9dc197db7e279456b01,2020-03-17 02:44:43 +0000,6fd515c40f8e9a7a756cb590dbd8e469,,Just a tad different flavor.,4.0,"January 17, 2019",AFWWU2IS2YYYRMKQ575CQG6AZ66Q,Sir Kensingtons,Grocery & Gourmet Food,Pantry Staples,Sir Kensingtons Mustard Yellow Sqz .The Freezing/chilling Temperatures is Ambient: Room Temperature .Made of good quality ingredient .,B071WKSX1F,https://www.amazon.com/gp/customer-reviews/R12RIY9KHTSSI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B071WKSX1F,"First, this is a bit pricier than the usual store bought but I couldn't resist trying it. It definitely has a different spice pop to it. It also does not seem to separate as easily as the usual. Probably won't purchase again.",Verified Purchase,0,NA
